iter	Passed	Remaining
1001	29662	207162
1002	29691	207130
1003	29720	207096
1004	29751	207073
1005	29780	207043
1006	29809	207010
1007	29837	206967
1008	29867	206944
1009	29898	206921
1010	29928	206895
1011	29957	206863
1012	29987	206836
1013	30019	206819
1014	30050	206798
1015	30080	206776
1016	30108	206735
1017	30137	206701
1018	30166	206666
1019	30195	206633
1020	30228	206622
1021	30260	206615
1022	30293	206602
1023	30321	206562
1024	30353	206554
1025	30382	206517
1026	30410	206480
1027	30439	206441
1028	30468	206411
1029	30496	206369
1030	30525	206338
1031	30553	206293
1032	30582	206262
1033	30615	206255
1034	30645	206230
1035	30674	206190
1036	30703	206159
1037	30734	206141
1038	30768	206137
1039	30799	206121
1040	30831	206105
1041	30861	206081
1042	30892	206061
1043	30921	206025
1044	30952	206005
1045	30986	206002
1046	31016	205977
1047	31045	205941
1048	31075	205918
1049	31105	205891
1050	31136	205867
1051	31164	205829
1052	31195	205810
1053	31224	205774
1054	31252	205732
1055	31284	205716
1056	31315	205697
1057	31346	205677
1058	31375	205645
1059	31405	205616
1060	31434	205585
1061	31464	205557
1062	31494	205526
1063	31524	205501
1064	31553	205470
1065	31584	205445
1066	31614	205423
1067	31645	205399
1068	31677	205383
1069	31710	205377
1070	31740	205352
1071	31772	205337
1072	31801	205299
1073	31828	205256
1074	31860	205242
1075	31889	205206
1076	31918	205171
1077	31948	205143
1078	31976	205107
1079	32007	205082
1080	32034	205039
1081	32065	205020
1082	32096	204994
1083	32125	204964
1084	32155	204938
1085	32186	204915
1086	32214	204874
1087	32244	204847
1088	32273	204814
1089	32303	204784
1090	32334	204762
1091	32365	204743
1092	32394	204712
1093	32425	204691
1094	32455	204660
1095	32483	204623
1096	32515	204609
1097	32548	204596
1098	32577	204566
1099	32607	204540
1100	32640	204530
1101	32673	204519
1102	32700	204474
1103	32732	204460
1104	32765	204449
1105	32793	204411
1106	32825	204393
1107	32855	204366
1108	32883	204327
1109	32913	204300
1110	32945	204282
1111	32973	204249
1112	33006	204234
1113	33037	204215
1114	33068	204196
1115	33101	204183
1116	33129	204143
1117	33157	204103
1118	33184	204058
1119	33213	204025
1120	33245	204010
1121	33276	203987
1122	33304	203947
1123	33333	203917
1124	33361	203878
1125	33393	203858
1126	33421	203823
1127	33451	203793
1128	33479	203754
1129	33509	203727
1130	33542	203713
1131	33571	203685
1132	33603	203668
1133	33630	203622
1134	33662	203606
1135	33693	203586
1136	33725	203567
1137	33756	203547
1138	33786	203518
1139	33816	203493
1140	33847	203473
1141	33876	203434
1142	33905	203402
1143	33933	203364
1144	33965	203345
1145	33995	203319
1146	34025	203293
1147	34053	203255
1148	34087	203246
1149	34116	203215
1150	34147	203192
1151	34176	203157
1152	34208	203142
1153	34237	203112
1154	34266	203080
1155	34294	203037
1156	34323	203002
1157	34353	202978
1158	34384	202956
1159	34416	202941
1160	34448	202925
1161	34478	202893
1162	34506	202857
1163	34537	202836
1164	34568	202812
1165	34599	202787
1166	34630	202765
1167	34658	202727
1168	34685	202685
1169	34718	202675
1170	34751	202661
1171	34784	202650
1172	34817	202643
1173	34851	202634
1174	34881	202608
1175	34909	202570
1176	34938	202536
1177	34968	202507
1178	34998	202478
1179	35028	202451
1180	35057	202419
1181	35087	202389
1182	35116	202357
1183	35147	202336
1184	35177	202308
1185	35207	202280
1186	35239	202260
1187	35268	202229
1188	35298	202200
1189	35327	202166
1190	35356	202135
1191	35385	202103
1192	35414	202065
1193	35445	202043
1194	35478	202032
1195	35507	201999
1196	35535	201960
1197	35564	201930
1198	35595	201906
1199	35627	201888
1200	35656	201855
1201	35687	201833
1202	35718	201810
1203	35749	201788
1204	35778	201757
1205	35807	201724
1206	35839	201706
1207	35870	201680
1208	35902	201663
1209	35931	201632
1210	35962	201609
1211	35991	201578
1212	36021	201547
1213	36049	201511
1214	36081	201493
1215	36112	201471
1216	36144	201453
1217	36174	201422
1218	36204	201398
1219	36235	201373
1220	36264	201341
1221	36296	201325
1222	36326	201293
1223	36353	201250
1224	36383	201223
1225	36414	201201
1226	36447	201188
1227	36478	201166
1228	36507	201131
1229	36538	201108
1230	36567	201077
1231	36598	201051
1232	36626	201016
1233	36655	200979
1234	36687	200962
1235	36717	200935
1236	36750	200924
1237	36779	200892
1238	36809	200862
1239	36838	200828
1240	36871	200814
1241	36900	200786
1242	36931	200760
1243	36960	200728
1244	36990	200701
1245	37021	200679
1246	37053	200659
1247	37084	200634
1248	37115	200612
1249	37144	200580
1250	37177	200566
1251	37208	200545
1252	37237	200513
1253	37268	200491
1254	37297	200453
1255	37331	200446
1256	37361	200422
1257	37393	200403
1258	37422	200368
1259	37452	200340
1260	37482	200314
1261	37514	200294
1262	37545	200273
1263	37576	200247
1264	37606	200218
1265	37636	200192
1266	37665	200156
1267	37696	200136
1268	37728	200120
1269	37759	200094
1270	37789	200067
1271	37819	200038
1272	37851	200019
1273	37882	199996
1274	37913	199973
1275	37942	199939
1276	37975	199927
1277	38006	199905
1278	38034	199867
1279	38065	199845
1280	38095	199815
1281	38127	199796
1282	38157	199768
1283	38188	199747
1284	38220	199726
1285	38249	199697
1286	38284	199690
1287	38315	199667
1288	38349	199660
1289	38382	199650
1290	38415	199638
1291	38452	199644
1292	38485	199627
1293	38515	199602
1294	38544	199567
1295	38573	199533
1296	38604	199511
1297	38637	199495
1298	38666	199466
1299	38695	199429
1300	38726	199404
1301	38763	199414
1302	38792	199382
1303	38826	199370
1304	38855	199339
1305	38884	199307
1306	38915	199281
1307	38944	199245
1308	38974	199219
1309	39004	199189
1310	39032	199150
1311	39060	199115
1312	39092	199095
1313	39123	199068
1314	39156	199059
1315	39186	199031
1316	39218	199011
1317	39247	198976
1318	39277	198948
1319	39307	198920
1320	39338	198894
1321	39370	198877
1322	39402	198860
1323	39430	198820
